,name,price,purchase,weigth,long,width,depth,volume
0,Ноутбук ASUS ZenBook UX430UQ,57674.13351498637,0.016666666666666666,1.25,3.24,2.25,2.25,16.402500000000003
2,Ноутбук HP ProBook 655 G3,46060.0,1.9666666666666663,2.31,3.78,2.57,2.57,24.966521999999998
3,Ноутбук Lenovo IdeaPad 320 17 Intel,29750.0,0.016666666666666666,2.8,4.18,2.926,2.926,35.78696968
4,Ноутбук Acer ASPIRE S5-371,57490.0,5.5,1.3,3.27,2.88,2.88,27.122688
5,Ноутбук Apple MacBook Pro 13 with Retina display and Touch Bar Mid 2019,155900.0,1.8,1.37,3.0410000000000004,2.124,2.124,13.719094416000003
6,Ноутбук Acer ASPIRE 3 (A315-41G),48790.0,1.7333333333333334,2.3,3.81,2.63,2.63,26.353388999999996
7,Ноутбук HP 15-dw0000,34915.0,0.4666666666666667,1.9462745098039216,3.585,2.42,2.42,20.995193999999998
8,Ноутбук DELL Latitude 5591,58300.0,0.75,1.93,3.76,2.5065,2.5065,23.622358859999995
9,Ноутбук ASUS ZenBook 13 UX331UA,67490.0,2.6666666666666665,1.1,3.1,2.16,2.16,14.463360000000002
10,Ноутбук Lenovo Yoga 530 14 Intel,30500.0,2.85,1.6,3.28,2.29,2.29,17.200648
11,Ноутбук Xiaomi Mi Gaming Laptop Enhanced Edition,97400.0,1.9833333333333327,2.7,3.64,2.6519999999999997,2.6519999999999997,25.600498559999995
12,"Ноутбук HUAWEI MateBook D 14"" (Intel)",57690.0,8.35,1.47,3.23,2.21,2.21,15.775643
13,Ноутбук Lenovo Ideapad 330s 14 AMD,27044.0,0.6666666666666666,1.67,3.2310000000000003,2.3480000000000003,2.3480000000000003,17.812839024000006
14,Ноутбук HP EliteBook 8570p,57674.13351498637,7.466666666666668,1.9462745098039216,3.74,2.51,2.51,23.562374
15,Ноутбук ASUS TUF Gaming FX504GD,57953.0,2.7333333333333334,2.3,3.84,2.62,2.62,26.359296
16,Ноутбук Acer SWIFT 5 (SF515-51T),89094.0,0.9833333333333332,0.99,3.58,2.3,2.3,18.9382
17,Ноутбук HUAWEI MateBook 13,59990.0,1.5666666666666669,1.28,2.86,2.11,2.11,12.733005999999998
18,Ноутбук Lenovo IdeaPad 720 15,48010.0,0.016666666666666666,2.1,3.625,2.55,2.55,23.571562499999995
19,Ноутбук HP 15-ba000,16533.0,10.516666666666667,2.04,3.843,2.546,2.546,24.910771787999995
20,"Ноутбук Xiaomi Mi Notebook Air 12.5"" 2019",57674.13351498637,0.3666666666666665,1.07,2.92,2.02,2.02,11.914767999999999
21,Ноутбук Acer ASPIRE 3 (A315-53),43690.0,0.8833333333333333,2.1,3.8160000000000003,2.628,2.628,26.354761344000003
22,Ноутбук Digma CITI E401,10990.0,0.38333333333333336,1.44,3.29,2.2,2.2,15.923600000000002
23,Ноутбук HP 255 G6,15497.0,6.9833333333333325,1.86,3.8,2.5380000000000003,2.5380000000000003,24.477487200000006
24,Ноутбук Alienware 17 R5,113867.0,0.6666666666666666,4.42,4.24,3.32,3.32,46.734975999999996
25,Ноутбук Digma CITI E602,11556.0,8.466666666666667,2.45,3.7,2.37,2.37,20.78253
26,Ноутбук HP 17-ak000,41390.0,0.4666666666666667,1.9462745098039216,4.15,2.78,2.78,32.07286
27,Ноутбук Lenovo THINKPAD L570,60996.0,3.5,2.38,3.77,2.55,2.55,24.514425
28,Ноутбук DELL G3 17 3779,64200.0,3.466666666666667,3.27,4.154,2.792,2.792,32.381526656
29,Ноутбук Acer SWIFT 3 (SF314-55),45150.0,0.8666666666666667,1.35,3.23,2.28,2.28,16.790831999999995
30,Ноутбук Lenovo V330 14,38660.0,1.8666666666666667,1.9462745098039216,,,,
31,Ноутбук HP PAVILION 14-bf100,52990.0,2.0166666666666666,1.9462745098039216,3.24,2.276,2.276,16.78377024
32,Ноутбук ASUS A541NA,57674.13351498637,4.866666666666666,2.0,3.81,2.52,2.52,24.195024
33,Ноутбук ASUS ZenBook S UX391FA,70205.0,0.38333333333333336,1.05,3.11,2.13,2.13,14.109758999999997
34,Ноутбук Samsung 300E5X,57674.13351498637,2.2333333333333334,2.3,3.68,2.43,2.43,21.730032000000005
35,Ноутбук ASUS ROG SCAR Edition GL503VD,68902.0,8.95,2.5,3.84,2.62,2.62,26.359296
37,Ноутбук MSI GL63 8SDK,92896.0,2.2,2.3,3.83,2.6,2.6,25.890800000000002
38,Ноутбук Acer ASPIRE 7 (A717-71G),70653.0,2.083333333333333,2.9,4.2332,2.8991000000000002,2.8991000000000002,35.579118124892005
39,Ноутбук ASUS VivoBook E403NA,18900.0,0.016666666666666666,1.5,3.3960000000000004,2.35,2.35,18.754410000000004
40,Ноутбук ASUS ROG GL702VM,92900.0,0.016666666666666666,2.7,4.15,2.8,2.8,32.536
41,Ноутбук MSI GS43VR 7RE Phantom Pro,92950.0,10.0,1.8,3.45,2.45,2.45,20.708625
42,Ноутбук HUAWEI MateBook X,59990.0,0.4166666666666667,1.05,2.86,2.11,2.11,12.733005999999998
43,Ноутбук Acer Predator 17X (GX-792),191700.0,9.55,4.55,4.23,3.215,3.215,43.72223175
44,Ноутбук ASUS ROG CHIMERA G703GX,231550.0,0.016666666666666666,4.7,4.25,3.19,3.19,43.248425
45,Ноутбук Acer TravelMate P2 (P259-MG),27064.0,2.2,1.9462745098039216,3.8160000000000003,2.59,2.59,25.5981096
